Assessment Name,Remote Testing Support,Adaptive/IRT Support,Test Type,Assessment URL,Duration
Claims/Operations Supervisor Solution,True,True,"Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,48
Contact Center Customer Service + 8.0,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,41
Contact Center Customer Service 8.0,True,False,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,31
Contact Center Manager - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,50
Contact Center Sales & Service + 8.0,True,False,"Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,41
Contact Center Sales & Service 8.0,True,False,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,31
Contact Center Team Lead/Coach - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,45
Contact Centre Agent Solution - UK,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,39
Customer Service - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,42
Customer Service - Short Form - UK,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,42
Customer Service with Sales - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,44
Director - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,69
District/Regional Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,65
Entry Level Cashier 7.1 (Americas),True,False,"Biodata & Situational Judgement, Personality & Behavior, Ability & Aptitude",https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,18
Entry Level Cashier 7.1 (International),True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,18
Entry Level Customer Service 7.1 (Americas),True,False,"Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,19
Entry Level Customer Service 7.1 (International),True,False,"Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,19
Entry Level Customer Service 7.1 (South Africa),True,False,"Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,19
Entry level Sales 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,20
Entry level Sales 7.1 (International),True,False,"Personality & Behavior, Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,20
Entry Level Sales Sift Out 7.1,True,False,"Competencies, Personality & Behavior, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,20
Event Sales Manager Solution,True,True,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,50
Executive - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,74
Financial Professional - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,35
Financial Services Representative Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,44
Front Desk Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,50
Gaming Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,50
Gaming Manager Solution,True,True,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,55
General Entry Level - All Industries 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,19
General Entry Level - All Industries 7.1 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,19
General Entry Level - All Industries 7.1(Americas),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,19
General Entry Level – Data Entry 7.0 Solution,True,False,"Biodata & Situational Judgement, Knowledge & Skills",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,24
Graduate + 8.0 Job Focused Assessment,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,30
Graduate 7.1 Job Focused Assessment,True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,19
Graduate 8.0 Job Focused Assessment,True,False,"Personality & Behavior, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,20
Guest Service Team 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,18
Guest Services Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,48
Healthcare Aide 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,22
Healthcare Call Center Agent Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,44
Healthcare Service Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,37
Healthcare Support Specialist Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,30
Home Health Aide Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,41
Hospitality Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,57
Host Solution,True,True,"Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/host-solution/,30
Industrial - Entry Level 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,20
Industrial - Entry Level 7.1 (Americas),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,20
Industrial - Entry Level 7.1 (International),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,20
Industrial - Professional and Skilled 7.0 Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,49
Industrial - Semi-skilled 7.1 (Americas),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,24
Industrial - Semi-skilled 7.1 (International),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,24
Industrial Professional and Skilled 7.1 (Americas),True,False,"Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,49
Industrial Professional and Skilled 7.1 Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,49
Installation and Repair Technician Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,49
Insurance Account Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,48
Insurance Administrative Assistant Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,24
Insurance Agent Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,46
Insurance Director Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,49
Insurance Sales Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,51
Manager - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,57
Manager + 7.0 Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,53
Manager + 7.1 (Americas),True,True,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,63
Manager + 7.1 (International),True,True,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,63
Manager 7.0 Solution,True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,35
Manager 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,40
Manager 7.1 (International),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,40
Manager 8.0 JFA,True,False,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,26
Manager 8.0+ JFA,True,False,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,44
Manufacturing Production Team Member,True,False,"Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,35
Manufacturing Skilled Maintenance Worker,True,False,"Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,45
Network Engineer/Analyst Solution,True,True,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,41
Nurse Leader Solution,True,True,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,59
Nurse Solution,True,True,"Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,66
Nursing Assistant Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,41
Personal Banker - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,30
Phone Banker - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,40
Prep/Line Cook Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,24
Professional + 7.0 Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,51
Professional + 7.1 (Americas),True,True,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,56
Professional + 7.1 (International),True,True,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,56
Professional 7.0 Solution,True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,33
Professional 7.1 (International),True,False,"Competencies, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,33
Professional 8.0 JFA,True,False,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,16
Professional/Individual Contributor - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,44
Project Manager - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,49
Proof Operator - Processing Specialist -Short Form,True,False,Simulations,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,30
Reservation Agent Solution,True,True,"Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,43
Restaurant Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,48
Restaurant Supervisor Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,53
Retail Consultant Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,45
Retail Manager w/ Sales Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,43
Retail Sales Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,29
Sales Director Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,59
Sales Engineer Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,61
Sales Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,63
Sales Professional 7.0 Solution,True,False,"Competencies, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,21
Sales Professional 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,21
Sales Professional Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,47
Sales Representative Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,29
Sales Supervisor Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,38
Sales Support Specialist Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,43
Senior Insurance Agent Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,44
Senior Sales Professional Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,42
Server Solution,True,True,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/server-solution/,40
Service Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,38
Service Supervisor Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,48
Stock Clerk Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,25
Store Manager 7.0 Solution,True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,34
Store Manager 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,34
Store Manager 7.1 (International),True,False,"Competencies, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,34
Store Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,49
Supervisor - Short Form,True,True,Simulations,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,57
Supervisor 7.0 Solution,True,False,"Biodata & Situational Judgement, Competencies",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,32
Supervisor 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,29
Supervisor 7.1 (International),True,False,"Personality & Behavior, Competencies, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,29
Support Associate Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,38
Support Supervisor Solution,True,True,"Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,39
Technical Sales Associate Solution,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,41
Technician/Technologist Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,52
Technology Professional 8.0 Job Focused Assessment,True,False,"Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,16
Telenurse Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,68
Teller 7.0,True,True,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,35
Teller with Sales - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,35
Transcriptionist Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,33
Workplace Safety - Individual 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,16
Workplace Safety - Individual 7.1 (Americas),True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,16
Workplace Safety - Team 7.0 Solution,True,False,Biodata & Situational Judgement,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,20
Workplace Safety - Team 7.1 (Americas),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,20
Workplace Safety - Team 7.1 (International),True,False,"Biodata & Situational Judgement, Competencies, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,20
Workplace Safety Solution,True,True,"Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,21
